"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",995,4765,4843,17,81,80,20883
"2","City of Alhambra",6716,7744,7703,194,224,159,86724
"3","City of Arcadia",2625,4545,4540,120,208,136,57754
"4","City of Artesia",2004,11932,11255,67,399,324,16795
"5","City of Avalon",16,414,415,0,0,0,3869
"6","City of Azusa",6181,12352,12383,108,216,260,50040
"7","City of Baldwin Park",12942,16858,16716,276,360,402,76769
"8","City of Bell",6657,18323,18330,105,289,381,36332
"9","City of Bell Gardens",8174,18978,19219,101,234,355,43071
"10","City of Bellflower",10473,13473,13318,193,248,273,77735
"11","City of Beverly Hills",2543,7367,7452,34,98,55,34520
"12","City of Bradbury",36,3368,3823,0,0,0,1069
"13","City of Burbank",8552,7979,7732,221,206,164,107180
"14","City of Calabasas",1184,4868,4816,31,127,106,24323
"15","City of Carson",9343,9956,9782,232,247,192,93846
"16","City of Cerritos",2942,5876,6004,49,98,66,50067
"17","City of Claremont",2204,6041,6450,50,137,86,36484
"18","City of Commerce",2364,18089,17940,39,298,300,13069
"19","City of Compton",16565,16581,16633,218,218,279,99904
"20","City of Covina",6296,12841,12672,151,308,260,49032
"21","City of Cudahy",4709,19341,19355,57,234,364,24347
"22","City of Culver City",2124,5328,5279,95,238,161,39865
"23","City of Diamond Bar",3133,5447,5318,77,134,106,57515
"24","City of Downey",17151,15010,14741,274,240,234,114263
"25","City of Duarte",2269,10306,10002,90,409,278,22016
"26","City of El Monte",16963,14465,14315,408,348,354,117269
"27","City of El Segundo",678,4039,4039,5,30,28,16786
"28","City of Gardena",6115,9974,9956,170,277,208,61310
"29","City of Glendale",19282,9338,8934,568,275,189,206493
"30","City of Glendora",4663,8837,8730,163,309,231,52764
"31","City of Hawaiian Gardens",2181,14861,14746,14,95,108,14676
"32","City of Hawthorne",10162,11445,11326,189,213,242,88787
"33","City of Hermosa Beach",928,4718,4564,11,56,75,19670
"34","City of Hidden Hills",82,4339,5516,2,106,66,1890
"35","City of Huntington Park",11028,18539,18437,159,267,346,59484
"36","City of Industry",164,37529,42146,4,915,766,437
"37","City of Inglewood",13209,11629,11481,290,255,266,113582
"38","City of Irwindale",251,17204,17169,5,343,318,1459
"39","City of La Canada Flintridge",725,3504,4337,16,77,49,20693
"40","City of La Habra Heights",108,1980,2022,1,18,8,5455
"41","City of La Mirada",4153,8373,8243,105,212,157,49599
"42","City of La Puente",6584,16178,15863,105,258,265,40697
"43","City of La Verne",2775,8338,8456,49,147,92,33282
"44","City of Lakewood",7017,8732,8714,80,100,86,80362
"45","City of Lancaster",21398,13244,13340,259,160,188,161570
"46","City of Lawndale",3480,10353,10081,54,161,191,33614
"47","City of Lomita",1398,6744,6798,23,111,89,20729
"48","City of Lynwood",13094,18174,18327,222,308,463,72047
"49","City of Malibu",379,2924,3098,7,54,26,12961
"50","City of Manhattan Beach",1250,3472,3496,19,53,46,35999
"51","City of Maywood",5131,18293,18576,85,303,445,28049
"52","City of Monrovia",3100,7990,8058,71,183,167,38800
"53","City of Montebello",9988,15515,15423,192,298,245,64375
"54","City of Monterey Park",4706,7558,7604,176,283,151,62262
"55","City of Norwalk",15775,14658,14369,328,305,300,107622
"56","City of Palmdale",23970,15079,15266,294,185,241,158968
"57","City of Palos Verdes Estates",423,3128,3534,9,67,26,13522
"58","City of Paramount",9751,17405,17265,137,245,322,56023
"59","City of Pico Rivera",10933,17007,16727,243,378,336,64284
"60","City of Pomona",23924,15343,15168,416,267,322,155931
"61","City of Rancho Palos Verdes",1422,3327,3566,53,124,54,42747
"62","City of Redondo Beach",2606,3793,3948,44,64,65,68697
"63","City of Rolling Hills",53,2732,4323,2,103,33,1940
"64","City of Rolling Hills Estates",268,3303,4259,8,99,45,8113
"65","City of Rosemead",4847,8757,8525,125,226,175,55350
"66","City of San Dimas",3150,9126,9193,85,246,166,34516
"67","City of San Fernando",5168,20998,20712,55,223,278,24612
"68","City of San Gabriel",3166,7731,7434,193,471,325,40954
"69","City of San Marino",359,2704,2727,9,68,59,13277
"70","City of Santa Clarita",19628,8905,8993,238,108,120,220424
"71","City of Santa Fe Springs",2795,15220,15205,34,185,162,18364
"72","City of Santa Monica",4482,4848,4748,156,169,115,92446
"73","City of Sierra Madre",452,4113,3970,13,118,63,10989
"74","City of Signal Hill",1115,9452,9632,9,76,74,11797
"75","City of South El Monte",3374,16155,16031,60,287,321,20885
"76","City of South Gate",18276,18620,18416,215,219,280,98155
"77","City of South Pasadena",1285,4932,4986,39,150,121,26053
"78","City of Temple City",2310,6337,6152,113,310,206,36455
"79","City of Torrance",6903,4625,4643,186,125,87,149268
"80","City of Vernon",122,58373,60760,1,478,440,209
"81","City of Walnut",1727,5656,5713,36,118,84,30532
"82","City of West Covina",12553,11598,11368,226,209,177,108235
"83","City of West Hollywood",2174,5883,5831,35,95,62,36951
"84","City of Westlake Village",107,1280,1273,1,12,8,8360
